# マップの敵キャラ初期配置
# UNIT_IDはAUTO_INCREMENT
MAP_ID, MAP_X, MAP_Y, ENEMY_NAME, CLASS_NAME, LV, HP, POWER, SKIL, SPEED, DEFENSE, MOVE, EXP, ITEM1, ITEM2, ITEM3
1, -3, -3, オジヤへい, とうぞく, 1, 16, 3, 1, 9, 2, 7, 40, てつのつるぎ
1, -9, 0, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -10, -3, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -12, -3, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -18, -4, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -18, -1, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -19, -1, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -21, 0, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -17, 1, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -17, 4, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -18, 4, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -19, 4, オジヤへい, かいぞく, 1, 18, 5, 1, 6, 4, 6, 24, おの
1, -19, 3, オジャック, かいぞく, 5, 24, 7, 3, 8, 6, 6, 28, はがねのおの
1, -17, -2, オジヤへい, ハンター, 1, 18, 6, 1, 5, 3, 6, 26, ゆみ
